id,Fecha,Comuna,Barrio,Problema,Estado,TiempoSolucion
144,2/11/2025,Robledo,Huanoquite,Poste caído,En proceso,
145,6/8/2024,Aranjuez,Quy Đạt,Hueco en vía,Solucionado,24
146,5/31/2024,Doce de Octubre,Ash Shaykh ‘Uthmān,Luminaria dañada,Solucionado,18
147,11/7/2024,Doce de Octubre,San Antonio,Hueco en vía,En proceso,
148,2/22/2025,Castilla,Surgut,Poste caído,En proceso,
149,7/20/2024,Aranjuez,Potosí,Alcantarillado colapsado,En proceso,
150,2/3/2025,Itagui,Rozhnyativ,Hueco en vía,Solucionado,18
151,3/6/2025,Castilla,Rakhiv,Poste caído,En proceso,
152,4/18/2025,Envigado,Zghartā,Luminaria dañada,Solucionado,19
153,1/28/2025,Aranjuez,Al Miftāḩ,Luminaria dañada,En proceso,
154,3/15/2025,Castilla,Planeta Rica,Alcantarillado colapsado,Solucionado,15
155,4/18/2025,Laureles,Xinjie,Hueco en vía,Solucionado,7
156,3/17/2025,Guayabal,Santa Clara,Hueco en vía,En proceso,
157,6/21/2024,La Candelaria,Nangela,Poste caído,Pendiente,
158,3/7/2025,Aranjuez,Tambong,Alcantarillado colapsado,Pendiente,
159,11/25/2024,Itagui,Fuzhai,Alcantarillado colapsado,En proceso,
160,10/2/2024,Manrique,Clonskeagh,Alcantarillado colapsado,En proceso,
161,4/19/2025,Guayabal,Bolesławiec,Hueco en vía,Pendiente,
162,10/31/2024,Manrique,Charleston,Alcantarillado colapsado,Solucionado,23
163,8/24/2024,Villa Hermosa,Monastir,Luminaria dañada,En proceso,
164,5/25/2025,Doce de Octubre,Pindorama,Hueco en vía,Pendiente,
165,7/2/2024,Santa Cruz,Nová Role,Poste caído,En proceso,
166,2/13/2025,Envigado,Savyon,Alcantarillado colapsado,En proceso,
167,6/8/2024,Laureles,Makapanstad,Hueco en vía,Solucionado,19
168,3/21/2025,Santa Cruz,Fontaínhas,Alcantarillado colapsado,Pendiente,
169,11/28/2024,Manrique,Pasirmukti,Poste caído,Solucionado,8
170,1/20/2025,Envigado,Ibaiti,Hueco en vía,Pendiente,
171,5/13/2025,Robledo,Stepnogorsk,Luminaria dañada,Pendiente,
172,6/18/2024,Manrique,Matangpayang,Poste caído,Solucionado,13
173,9/27/2024,Doce de Octubre,Pondokaso,Hueco en vía,En proceso,
174,1/21/2025,Envigado,Caibarién,Luminaria dañada,En proceso,
175,8/3/2024,Robledo,Guiwu,Alcantarillado colapsado,En proceso,
176,9/29/2024,Manrique,Złotów,Luminaria dañada,En proceso,
177,12/3/2024,Manrique,Yelets,Alcantarillado colapsado,Pendiente,
178,7/15/2024,Doce de Octubre,Mantampay,Hueco en vía,Solucionado,27
179,3/25/2025,La Candelaria,Yaogou,Luminaria dañada,En proceso,
180,11/30/2024,Doce de Octubre,Nai Harn,Poste caído,Solucionado,16
181,4/1/2025,Robledo,Chikeng,Hueco en vía,Pendiente,
182,3/1/2025,Aranjuez,Moluo,Luminaria dañada,En proceso,
183,7/30/2024,Envigado,Sukonolo Krajan,Luminaria dañada,Pendiente,
184,3/19/2025,Guayabal,Tumen,Alcantarillado colapsado,Solucionado,6
185,1/19/2025,Santa Cruz,Dubu,Hueco en vía,Pendiente,
186,3/30/2025,Itagui,Yongshan,Alcantarillado colapsado,En proceso,
187,2/20/2025,Robledo,Créteil,Luminaria dañada,En proceso,
188,6/28/2024,Manrique,Fuming,Luminaria dañada,Pendiente,
189,4/26/2025,Villa Hermosa,Petrov,Alcantarillado colapsado,Pendiente,
190,4/20/2025,Aranjuez,Canutama,Poste caído,Pendiente,
191,5/31/2024,Laureles,Al ‘Anān,Hueco en vía,En proceso,
192,5/25/2025,Manrique,Falkenberg,Poste caído,En proceso,
193,5/20/2025,Santa Cruz,Tuguanpu,Alcantarillado colapsado,En proceso,
194,12/17/2024,La Candelaria,Xintaimen,Poste caído,Solucionado,29
195,4/5/2025,Envigado,Yinkeng,Alcantarillado colapsado,Pendiente,
196,7/2/2024,Santo Domingo,Ganyesa,Luminaria dañada,En proceso,
197,7/8/2024,Aranjuez,Norsborg,Hueco en vía,Solucionado,10
198,1/31/2025,Santo Domingo,Mandapajaya,Poste caído,En proceso,
199,10/5/2024,Manrique,Livorno,Poste caído,En proceso,
200,5/23/2025,Manrique,Wilmington,Alcantarillado colapsado,Solucionado,20
201,9/24/2024,La Candelaria,Karlstad,Luminaria dañada,Solucionado,13
202,7/25/2024,Guayabal,Boconó,Hueco en vía,Pendiente,
203,11/3/2024,Villa Hermosa,La Vega,Alcantarillado colapsado,En proceso,
204,8/19/2024,Doce de Octubre,Jingzhuang,Luminaria dañada,Solucionado,16
205,6/21/2024,Aranjuez,San Juan Ixcoy,Luminaria dañada,Solucionado,4
206,1/18/2025,Itagui,Tolstoy-Yurt,Alcantarillado colapsado,En proceso,
207,3/6/2025,Belen,Xiangyun,Hueco en vía,Pendiente,
208,2/6/2025,Santo Domingo,Lazarevac,Alcantarillado colapsado,Solucionado,22
209,3/11/2025,Aranjuez,Bent Jbaïl,Alcantarillado colapsado,Solucionado,19
210,10/26/2024,Laureles,Thị Trấn Bình Mỹ,Poste caído,Solucionado,18
211,5/18/2025,El Poblado,Wróblew,Hueco en vía,Solucionado,7
212,2/11/2025,El Poblado,Yŏnggwang-ŭp,Luminaria dañada,Pendiente,
213,5/31/2024,Santo Domingo,Klavdiyevo-Tarasove,Hueco en vía,Pendiente,
214,7/18/2024,Guayabal,Cowansville,Poste caído,Solucionado,19
215,11/7/2024,Doce de Octubre,Shiqian,Poste caído,En proceso,
216,5/26/2025,Itagui,Hou’an,Alcantarillado colapsado,Solucionado,30
217,3/11/2025,Envigado,Olonets,Hueco en vía,En proceso,
218,4/24/2025,Doce de Octubre,Emiliano Zapata,Poste caído,Pendiente,
219,3/11/2025,Belen,Silvares,Hueco en vía,Solucionado,26
220,12/5/2024,Itagui,Saint Louis,Poste caído,En proceso,
221,3/14/2025,San Javier,Huilong,Alcantarillado colapsado,Solucionado,11
222,10/2/2024,Manrique,Vysotskoye,Luminaria dañada,En proceso,
223,8/21/2024,El Poblado,Kurgan,Alcantarillado colapsado,Pendiente,
224,6/21/2024,Envigado,Paris 19,Poste caído,Solucionado,15
225,5/19/2025,Manrique,Batusangkar,Alcantarillado colapsado,En proceso,
226,10/27/2024,Aranjuez,Wangxian,Poste caído,En proceso,
227,10/12/2024,Robledo,Konstantynów Łódzki,Hueco en vía,Solucionado,8
228,9/21/2024,San Javier,Balakliya,Poste caído,Pendiente,
229,7/27/2024,San Javier,Shizunai-furukawachō,Alcantarillado colapsado,En proceso,
230,1/13/2025,Robledo,Tantu,Hueco en vía,En proceso,
231,10/20/2024,Belen,Valinhos,Alcantarillado colapsado,Pendiente,
232,6/21/2024,Doce de Octubre,Paraty,Luminaria dañada,En proceso,
233,10/12/2024,Castilla,Lumbayan,Poste caído,En proceso,
234,11/4/2024,Doce de Octubre,Libuganon,Alcantarillado colapsado,Solucionado,25
235,9/1/2024,Santa Cruz,Xihongmen,Luminaria dañada,Solucionado,5
236,8/28/2024,Castilla,Karanganyar,Hueco en vía,Pendiente,
237,2/13/2025,El Poblado,Diébougou,Hueco en vía,Pendiente,
238,7/21/2024,Belen,Huashu,Luminaria dañada,En proceso,
239,3/11/2025,Santo Domingo,Krajan Tanjungrejo,Luminaria dañada,Solucionado,12
240,6/9/2024,Manrique,Batugede Kulon,Hueco en vía,Pendiente,
241,7/17/2024,La Candelaria,Neftegorsk,Hueco en vía,Solucionado,7
242,4/20/2025,El Poblado,Kuala Lumpur,Alcantarillado colapsado,En proceso,
243,4/30/2025,Santo Domingo,Xaysetha,Poste caído,En proceso,
244,8/28/2024,Belen,Sanhui,Poste caído,Pendiente,
245,6/28/2024,Guayabal,Mokronog,Poste caído,Pendiente,
246,3/18/2025,Manrique,Kimméria,Poste caído,Solucionado,5
247,9/6/2024,San Javier,Kampungladang,Poste caído,Pendiente,
248,1/1/2025,Aranjuez,Sembung,Poste caído,En proceso,
249,6/9/2024,El Poblado,Guantouzui,Hueco en vía,Pendiente,
250,11/29/2024,Doce de Octubre,Benito Juarez,Luminaria dañada,Solucionado,6
251,11/16/2024,Aranjuez,Wuyang,Poste caído,Pendiente,
252,5/29/2025,Envigado,Strel'na,Alcantarillado colapsado,Pendiente,
253,5/2/2025,La Candelaria,Igaraçu do Tietê,Poste caído,Pendiente,
254,6/5/2024,Villa Hermosa,Wongaya Kaja,Poste caído,En proceso,
255,7/11/2024,Envigado,Kazanskaya,Alcantarillado colapsado,En proceso,
256,1/7/2025,Robledo,Sahatsakhan,Poste caído,Pendiente,
257,7/14/2024,Santa Cruz,Muli,Hueco en vía,En proceso,
258,9/17/2024,El Poblado,Kolbano,Hueco en vía,En proceso,
259,1/3/2025,Laureles,Shihuiyao,Hueco en vía,Solucionado,11
260,2/10/2025,Belen,Valbonë,Alcantarillado colapsado,Solucionado,17
261,2/8/2025,Castilla,Itanhaém,Alcantarillado colapsado,Solucionado,4
262,11/21/2024,Guayabal,Kilingi-Nõmme,Alcantarillado colapsado,En proceso,
263,9/14/2024,Santa Cruz,Tuatuka,Poste caído,Solucionado,29
264,12/22/2024,Manrique,Niedźwiada,Poste caído,Solucionado,18
265,5/23/2025,Manrique,Pātan,Hueco en vía,En proceso,
266,11/11/2024,Belen,Pajo,Poste caído,Solucionado,11
267,1/24/2025,San Javier,Ipoh,Luminaria dañada,Solucionado,13
268,2/12/2025,Manrique,Juhaynah,Luminaria dañada,En proceso,
269,1/22/2025,Aranjuez,Blimbing,Luminaria dañada,Solucionado,27
270,6/14/2024,Castilla,Mianay,Hueco en vía,Solucionado,9
271,9/10/2024,Aranjuez,Payaman,Hueco en vía,En proceso,
272,12/26/2024,Itagui,Nageswari,Alcantarillado colapsado,En proceso,
273,8/22/2024,Laureles,Bratslav,Poste caído,Pendiente,
274,8/11/2024,Doce de Octubre,Alto de São Sebastião,Hueco en vía,En proceso,
275,6/9/2024,Villa Hermosa,Zagora,Alcantarillado colapsado,Solucionado,30
276,10/11/2024,Santa Cruz,Bolembre,Poste caído,Solucionado,7
277,8/25/2024,Santo Domingo,Wuping,Luminaria dañada,En proceso,
278,10/5/2024,Doce de Octubre,Loncoche,Poste caído,Solucionado,15
279,3/21/2025,Doce de Octubre,San Cristóbal,Luminaria dañada,En proceso,
280,6/19/2024,Guayabal,Södertälje,Poste caído,En proceso,
281,5/23/2025,Aranjuez,Banī Walīd,Alcantarillado colapsado,En proceso,
282,7/28/2024,San Javier,El Carmen,Poste caído,Solucionado,30
283,1/14/2025,Aranjuez,Basey,Luminaria dañada,En proceso,
284,2/11/2025,Envigado,Shreveport,Poste caído,Pendiente,
285,2/14/2025,Villa Hermosa,Ciawitali,Luminaria dañada,Pendiente,
286,6/18/2024,Doce de Octubre,Alajuelita,Poste caído,En proceso,
287,9/14/2024,Aranjuez,Boulder,Alcantarillado colapsado,Pendiente,
288,9/25/2024,Santa Cruz,Avon,Alcantarillado colapsado,Pendiente,
289,11/7/2024,Belen,San Jorge,Poste caído,Pendiente,
290,6/4/2024,La Candelaria,Konin,Hueco en vía,Solucionado,18
291,7/7/2024,Laureles,Gvardeysk,Alcantarillado colapsado,En proceso,
292,9/22/2024,Aranjuez,Allentown,Luminaria dañada,Pendiente,
293,1/15/2025,Itagui,Lipnik,Poste caído,En proceso,
294,10/9/2024,Castilla,Vani,Alcantarillado colapsado,En proceso,
295,11/26/2024,Doce de Octubre,Bonthe,Luminaria dañada,Pendiente,
296,4/3/2025,Santa Cruz,Sanmiaoqian,Poste caído,Solucionado,5
297,12/19/2024,Belen,Hermosa,Poste caído,Pendiente,
298,5/31/2024,Robledo,Hayes,Alcantarillado colapsado,Solucionado,6
299,3/28/2025,Aranjuez,Caen,Luminaria dañada,Pendiente,
300,12/25/2024,La Candelaria,Solna,Alcantarillado colapsado,En proceso,
301,9/16/2024,Robledo,Cerklje na Gorenjskem,Luminaria dañada,Pendiente,
302,7/23/2024,Aranjuez,Meghrashen,Poste caído,Solucionado,26
303,9/28/2024,Itagui,Klenovyy,Alcantarillado colapsado,Pendiente,
304,10/23/2024,Santa Cruz,Manuel Antonio Mesones Muro,Alcantarillado colapsado,Pendiente,
305,5/18/2025,Laureles,Kholbon,Luminaria dañada,En proceso,
306,12/26/2024,Santo Domingo,Nyíregyháza,Luminaria dañada,Solucionado,26
307,12/12/2024,San Javier,Jianfeng,Poste caído,En proceso,
308,5/24/2025,Doce de Octubre,Muxagata,Luminaria dañada,En proceso,
309,1/25/2025,Manrique,Hejiayan,Poste caído,Pendiente,
310,2/15/2025,Santo Domingo,Paris La Défense,Alcantarillado colapsado,En proceso,
311,10/3/2024,El Poblado,Nong Khae,Poste caído,Pendiente,
312,8/7/2024,Manrique,Mouhijärvi,Alcantarillado colapsado,Pendiente,
313,4/23/2025,Villa Hermosa,Moravská Nová Ves,Alcantarillado colapsado,Solucionado,8
314,8/2/2024,Laureles,Klimontów,Luminaria dañada,En proceso,
315,5/5/2025,Aranjuez,Vista Alegre,Alcantarillado colapsado,Solucionado,29
316,12/13/2024,Robledo,Shi’ao,Luminaria dañada,Solucionado,13
317,6/22/2024,Robledo,Saint-Quentin-en-Yvelines,Poste caído,Pendiente,
318,1/27/2025,Envigado,Labuan,Alcantarillado colapsado,En proceso,
319,3/24/2025,Aranjuez,Weishan,Hueco en vía,En proceso,
320,12/9/2024,Belen,Alegria,Hueco en vía,Pendiente,
321,12/2/2024,Guayabal,Yuscarán,Alcantarillado colapsado,Pendiente,
322,3/28/2025,Santo Domingo,Tandou,Luminaria dañada,Solucionado,6
323,7/21/2024,Manrique,Chengxiang,Alcantarillado colapsado,En proceso,
324,7/20/2024,Doce de Octubre,Huangjin,Alcantarillado colapsado,En proceso,
325,10/5/2024,Manrique,Baton Rouge,Hueco en vía,Pendiente,
326,12/17/2024,Envigado,Urho,Alcantarillado colapsado,Pendiente,
327,12/24/2024,Aranjuez,Żabnica,Poste caído,Pendiente,
328,1/19/2025,Itagui,Sepatan,Alcantarillado colapsado,En proceso,
329,5/20/2025,Itagui,La Esperanza,Luminaria dañada,Solucionado,11
330,1/12/2025,Manrique,Pleven,Poste caído,Solucionado,5
331,1/9/2025,Envigado,Néma,Alcantarillado colapsado,En proceso,
332,4/22/2025,La Candelaria,Gulod,Poste caído,En proceso,
333,12/12/2024,Guayabal,Yemva,Hueco en vía,Pendiente,
334,6/12/2024,Castilla,Pangatikan,Luminaria dañada,En proceso,
335,5/28/2025,Aranjuez,Castanheira,Alcantarillado colapsado,En proceso,
336,1/18/2025,Santa Cruz,Nong Hi,Luminaria dañada,Pendiente,
337,9/1/2024,Envigado,Rybczewice,Alcantarillado colapsado,En proceso,
338,7/14/2024,Santo Domingo,Bordeaux,Alcantarillado colapsado,En proceso,
339,2/10/2025,Villa Hermosa,Pakuncen,Poste caído,En proceso,
340,9/8/2024,Itagui,Nama,Alcantarillado colapsado,En proceso,
341,7/28/2024,Doce de Octubre,Bancar,Luminaria dañada,Solucionado,25
342,7/22/2024,Itagui,Affery,Poste caído,En proceso,
343,8/2/2024,San Javier,Joaçaba,Alcantarillado colapsado,En proceso,
344,7/29/2024,El Poblado,Lesnoy,Hueco en vía,Solucionado,29
345,6/11/2024,Itagui,Miao’ertan,Poste caído,Solucionado,4
346,8/28/2024,Envigado,San Julian,Alcantarillado colapsado,Solucionado,18
347,11/9/2024,Aranjuez,Qixian,Hueco en vía,En proceso,
348,10/20/2024,Itagui,Velventós,Alcantarillado colapsado,Pendiente,
349,7/4/2024,El Poblado,Tenancingo,Luminaria dañada,Solucionado,21
350,6/9/2024,Itagui,Kitakyūshū,Hueco en vía,Pendiente,
351,4/26/2025,La Candelaria,Gelsenkirchen,Hueco en vía,Solucionado,10
352,11/27/2024,Aranjuez,San Isidro,Luminaria dañada,En proceso,
353,4/20/2025,Castilla,Loma Bonita,Alcantarillado colapsado,Solucionado,14
354,5/25/2025,Manrique,Igurubi,Alcantarillado colapsado,Solucionado,13
355,12/15/2024,Belen,Baton Rouge,Alcantarillado colapsado,Solucionado,27
356,3/12/2025,Santo Domingo,Pingshan,Hueco en vía,Pendiente,
357,8/21/2024,Itagui,Tomakivka,Luminaria dañada,En proceso,
358,11/30/2024,Aranjuez,Zhvanets,Luminaria dañada,Pendiente,
359,11/10/2024,Doce de Octubre,Qalqīlyah,Hueco en vía,Solucionado,27
360,12/28/2024,Aranjuez,Temara,Luminaria dañada,Solucionado,19
361,10/19/2024,Doce de Octubre,Yinghua,Hueco en vía,En proceso,
362,5/20/2025,El Poblado,Pata,Poste caído,Solucionado,23
363,6/7/2024,Aranjuez,Qingshui,Alcantarillado colapsado,Solucionado,10
364,4/7/2025,Itagui,Kangar,Luminaria dañada,Solucionado,5
365,4/27/2025,Castilla,Ngrejo,Hueco en vía,En proceso,
366,4/22/2025,Doce de Octubre,Nehe,Poste caído,En proceso,
